Standard Approx Date;Animanga AO3;Animanga FFN;(Notes);TV AO3;;TV FFN;(Notes);Games AO3;(Notes);Games FFN;(Notes);Cartoon FFN;(Link);Cartoon AO3;(Link);Chatfics;AsianFanfics;(Links);K-Pop AO3;Bandom FFN;;Books FFN;(Links);Books AO3;Other Refs
Jul 1, 20;Jul 1, 20;Jul 1, 20;;Jul 1, 20;;Jul 1, 20;;Jul 1, 20;;Jun 30, 20;;Jul 1, 20;;Jul 1, 20;;;Jul 3, 20;;Jul 1, 20;;;Jul 1, 20;;Jul 1, 20;
Oct 1, 20;Oct 1, 20;Oct 1, 20;;Oct 1, 20;;Oct 1, 20;;Oct 1, 20;;Oct 1, 20;;Oct 1, 20;;Oct 1, 20;;;Sep 25, 20;;Oct 1, 20;;;Oct 1, 20;;Oct 1, 20;
Jan 1, 21;Jan 1, 21;Jan 1, 21;;Jan 1, 21;;Jan 1, 21;;Jan 1, 21;;Jan 1, 21;;Jan 1, 21;;Jan 1, 21;;;Jan 17, 21;;Jan 1, 21;;;Jan 1, 21;;Jan 1, 21;
Apr 1, 21;Apr 1, 21;Apr 1, 21;;Apr 1, 21;;Apr 1, 21;;Apr 1, 21;;Apr 1, 21;;Apr 1, 21;;Apr 1, 21;;;Apr 14, 21;;Apr 1, 21;;;Apr 1, 21;;Apr 1, 21;
Jul 1, 21;Jul 1, 21;Jul 1, 21;;Jul 1, 21;;Jul 1, 21;;Jul 1, 21;;Jul 1, 21;;Jul 1, 21;;Jul 1, 21;;;Jun 22, 21;;Jul 1, 21;;;Jul 1, 21;;Jul 1, 21;
Oct 1, 21;Oct 1, 21;Oct 1, 21;;Oct 1, 21;;Oct 1, 21;;Oct 1, 21;;Oct 1, 21;;Oct 1, 21;;Oct 1, 21;;;Sep 19, 21;;Oct 1, 21;;;Oct 1, 21;;Oct 1, 21;
Jan 1, 22;Jan 1, 22;Jan 1, 22;;Jan 1, 22;;Jan 1, 22;;Jan 1, 22;;Dec 31, 21;;Jan 1, 22;;Jan 1, 22;;;Jan 1, 22;;Jan 1, 22;;;Jan 1, 22;;Jan 1, 22;
Apr 1, 22;Apr 1, 22;Apr 8, 22;;Mar 31, 22;;Mar 31, 22;;Apr 1, 22;;Mar 31, 22;;Mar 31, 22;;Apr 1, 22;;;Apr 5, 22;;Apr 1, 22;;;Apr 8, 22;;Apr 1, 22;
Jul 1, 22;Jul 1, 22;Jul 4, 22;;Jul 4, 22;;Jul 4, 22;;Jul 1, 22;;Jul 4, 22;;Jul 4, 22;;Jul 1, 22;;;Jul 3, 22;;Jul 1, 22;;;Jul 4, 22;;Jul 1, 22;
Aug 2, 22;Aug 2, 22;Aug 2, 22;;Aug 2, 22;;Aug 2, 22;;Aug 2, 22;;Aug 2, 22;;Aug 2, 22;;Aug 2, 22;;;;;Aug 2, 22;;;Aug 2, 22;;Aug 2, 22;
Sep 20, 22;Sep 20, 22;Sep 20, 22;;Sep 21, 22;;Sep 21, 22;;Sep 20, 22;;Sep 21, 22;;Sep 21, 22;;Sep 20, 22;;;Sep 28, 22;;Sep 20, 22;;;Sep 21, 22;;Sep 20, 22;
Oct 23, 22;Oct 23, 22;Oct 23, 22;;Oct 21, 22;;Oct 21, 22;;Oct 23, 22;;Oct 21, 22;;Oct 21, 22;;Oct 23, 22;;;Oct 24, 22;;Oct 23, 22;;;Oct 21, 22;;Oct 23, 22;
Jan 1, 23;Jan 1, 23;Jan 1, 23;;Jan 5, 23;;Jan 5, 23;;Jan 1, 23;;Dec 30, 22;;Dec 30, 22;;Jan 1, 23;;;;;Jan 1, 23;;;Dec 30, 22;;Jan 1, 23;
Mar 3, 23;Mar 3, 23;Mar 3, 23;;Mar 6, 23;;Mar 6, 23;;Mar 3, 23;;Mar 6, 23;;Mar 6, 23;;Mar 3, 23;;;Mar 6, 23;;Mar 3, 23;;;Mar 6, 23;;Mar 3, 23;
Apr 3, 23;Apr 3, 23;Apr 3, 23;;Apr 3, 23;;Apr 3, 23;;Apr 3, 23;;;;;;Apr 3, 23;;;;;Apr 3, 23;;;Apr 4, 23;;Apr 3, 23;
Jun 30, 23;Jun 30, 23;Jun 30, 23;;Jun 30, 23;;Jun 30, 23;;Jun 30, 23;;Jun 30, 23;;Jun 30, 23;;Jun 30, 23;;Jun 30, 23;Jun 30, 23;;Jun 30, 23;;;;;;
Oct 1, 23;Oct 1, 23;Oct 1, 23;;Oct 1, 23;;Oct 1, 23;;Oct 1, 23;;Oct 1, 23;;Oct 1, 23;;Oct 1, 23;;Oct 1, 23;Oct 1, 23;;Oct 1, 23;;;;;;
Jan 1, 24;Jan 1, 24;Jan 1, 24;;Jan 1, 24;;Jan 1, 24;;Jan 1, 24;;Jan 1, 24;;Jan 1, 24;;Jan 1, 24;;Jan 1, 24;Jan 1, 24;;Jan 1, 24;;;;;;
Apr 1, 24;;;;;;;;;;;;;;;;;Apr 1, 24;;Apr 1, 24;;;;;;
Jun 30, 24;;;;;;;;;;;;;;;;;;;Jun 30, 24;;;;;;
Oct 1, 24;;;;;;;;;;;;;;;;;;;Oct 1, 24;;;;;;
Jan 1, 25;;;;;;;;;;;;;;;;;;;;;;;;;
Apr 1, 25;;;;;;;;;;;;;;;;;;;;;;;;;
Jul 1, 25;;;;;;;;;;;;;;;;;;;;;;;;;
Oct 3, 25;;;;;;;;;;;;;;;;;;;;;;;;;
Jan 1, 26;;;;;;;;;;;;;;;;;;;;;;;;;
